Metadata,,,,,,,Phage,,,Bacteria counts,,,,Bacteria CFU,,,,ln(Malthusian parameters),,,Selection rate constants,
Treatment,Timepoint,Replicate,BIM_mix,Phage)mix,Escape_phage,Tracked_BIM,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
3,3,5,14-16,14-16,13,13,28,1.00E+02,560000,54,3,1,1.00E+06,540000000,30000000,10000000,570000000,-0.388180171,-0.22184875,-0.477121255,0.166331422,-0.255272505
3,3,6,17-19,17-19,16,19,22,1.00E+02,440000,61,2,2,1.00E+06,610000000,20000000,20000000,630000000,-0.020850139,-0.301029996,0,-0.280179857,0.301029996
3,3,7,19-21,19-21,19,19,16,1.00E+00,3200,230,6,16,1.00E+06,2300000000,60000000,160000000,2360000000,0.50439534,0.77815125,0.903089987,0.273755911,0.124938737
3,3,8,22-24,22-24,22,22,11,1.00E+03,2200000,70,8,1,1.00E+06,700000000,80000000,10000000,780000000,0.025554104,0.301029996,0,0.275475891,-0.301029996
6,0,1,1-6,1-6,1,1,4,1.00E+03,800000,4,16,6,1.00E+04,400000,1600000,600000,2000000,,,,0,0
6,0,2,1-6,1-6,4,4,5,1.00E+03,1000000,5,14,8,1.00E+04,500000,1400000,800000,1900000,,,,0,0
6,0,3,7-12,7-12,7,7,5,1.00E+03,1000000,2,19,6,1.00E+04,200000,1900000,600000,2100000,,,,0,0
6,0,4,7-12,7-12,10,10,8,1.00E+03,1600000,3,13,5,1.00E+04,600000,2600000,1000000,3200000,,,,0,0
6,0,5,13-18,13-18,13,13,5,1.00E+03,1000000,4,11,2,1.00E+04,400000,1100000,200000,1500000,,,,0,0
6,0,6,13-18,13-18,16,19,6,1.00E+03,1200000,6,18,5,1.00E+04,600000,1800000,500000,2400000,,,,0,0
6,0,7,19-24,19-24,19,19,10,1.00E+03,2000000,6,18,7,1.00E+04,600000,1800000,700000,2400000,,,,0,0
6,0,8,19-24,19-24,22,22,4,1.00E+03,800000,29,23,5,1.00E+04,2900000,2300000,500000,5200000,,,,0,0
6,1,1,1-6,1-6,1,1,9,1.00E+06,1800000000,115,24,4,1.00E+06,1150000000,240000000,40000000,1390000000,3.458637849,2.176091259,1.823908741,-1.28254659,-0.352182518
6,1,2,1-6,1-6,4,4,10,1.00E+06,2000000000,90,19,14,1.00E+06,900000000,190000000,140000000,1090000000,3.255272505,2.132625565,2.243038049,-1.12264694,0.110412483
6,1,3,7-12,7-12,7,7,16,1.00E+04,32000000,74,25,12,1.00E+06,740000000,250000000,120000000,990000000,3.568201724,2.119186408,2.301029996,-1.449015316,0.181843588
6,1,4,7-12,7-12,10,10,8,1.00E+04,16000000,131,47,11,1.00E+06,1310000000,470000000,110000000,1780000000,3.339120045,2.25712451,2.041392685,-1.081995535,-0.215731825
6,1,5,13-18,13-18,13,13,10,1.00E+06,2000000000,166,112,48,1.00E+06,1660000000,1120000000,480000000,2780000000,3.618048097,3.007825338,3.380211242,-0.610222759,0.372385904
6,1,6,13-18,13-18,16,19,12,1.00E+04,24000000,104,82,30,1.00E+06,1040000000,820000000,300000000,1860000000,3.238882089,2.658541347,2.77815125,-0.580340742,0.119609903
