Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
1,3,2,2,2,2,36,0,0,NA,1.00E+06,3.60E+08,1,1,0,3.60E+08,-0.199572355,-7.301029996,-7.301029996,-7.101457641,-7.101457641
1,3,3,3,3,3,16,1,1,NA,1.00E+06,1.60E+08,1.00E+07,1.00E+07,0,1.70E+08,-0.408663874,0,0,0.408663874,0.408663874
1,3,4,4,4,4,16,0,0,NA,1.00E+06,1.60E+08,1,1,0,1.60E+08,-0.210853365,0,0,0.210853365,0.210853365
1,3,5,5,5,5,32,5,5,NA,1.00E+06,3.20E+08,5.00E+07,5.00E+07,0,3.70E+08,-0.202420198,0.698970004,0.698970004,0.901390202,0.901390202
1,3,6,6,6,6,11,1,1,NA,1.00E+06,1.10E+08,1.00E+07,1.00E+07,0,1.20E+08,-0.237360916,7,7,7.237360916,7.237360916
1,3,7,7,7,7,11,0,0,NA,1.00E+06,1.10E+08,1,1,0,1.10E+08,-0.877685407,-7.602059991,-7.602059991,-6.724374584,-6.724374584
1,3,8,8,8,8,13,0,0,NA,1.00E+06,1.30E+08,1,1,0,1.30E+08,-0.957938655,-8,-8,-7.042061345,-7.042061345
1,3,9,9,9,9,22,1,1,NA,1.00E+06,2.20E+08,1.00E+07,1.00E+07,0,2.30E+08,-0.019305155,-0.84509804,-0.84509804,-0.825792885,-0.825792885
1,3,10,10,10,10,26,1,1,NA,1.00E+06,2.60E+08,1.00E+07,1.00E+07,0,2.70E+08,-0.228479329,-0.698970004,-0.698970004,-0.470490676,-0.470490676
1,3,11,11,11,11,19,1,1,NA,1.00E+06,1.90E+08,1.00E+07,1.00E+07,0,2.00E+08,0.102662342,0,0,-0.102662342,-0.102662342
1,3,12,12,12,12,16,0,0,NA,1.00E+06,1.60E+08,1,1,0,1.60E+08,-1.306425028,-8.681241237,-8.681241237,-7.37481621,-7.37481621
1,3,13,13,13,13,152,2,2,NA,1.00E+06,1.52E+09,2.00E+07,2.00E+07,0,1.54E+09,0.71944559,0.301029996,0.301029996,-0.418415594,-0.418415594
1,3,14,14,14,14,67,0,0,NA,1.00E+06,6.70E+08,1,1,0,6.70E+08,0.525044807,-7,-7,-7.525044807,-7.525044807
1,3,15,15,15,15,112,2,2,NA,1.00E+06,1.12E+09,2.00E+07,2.00E+07,0,1.14E+09,0.517739106,-0.544068044,-0.544068044,-1.06180715,-1.06180715
1,3,16,16,16,16,368,16,16,NA,1.00E+06,3.68E+09,1.60E+08,1.60E+08,0,3.84E+09,0.773456129,0.602059991,0.602059991,-0.171396138,-0.171396138
