Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,total_CFU,Strain,Titre
1_control,2,8,8,ancestral,8,2.90E+08,PFU,1.40E+09
1_control,2,9,9,ancestral,9,3.10E+08,PFU,4.80E+08
1_control,2,10,10,ancestral,10,8.50E+08,PFU,2.60E+09
1_control,2,11,11,ancestral,11,6.20E+08,PFU,1.60E+09
1_control,2,12,12,ancestral,12,6.40E+08,PFU,1.00E+09
1_control,2,13,13,ancestral,13,9.30E+08,PFU,5.00E+08
1_control,2,14,14,ancestral,14,8.00E+08,PFU,1.40E+10
1_control,2,15,15,ancestral,15,1.58E+09,PFU,1.60E+09
1_control,2,16,16,ancestral,16,6.60E+08,PFU,2.40E+09
1_control,2,17,17,ancestral,1,6.00E+08,PFU,1.00E+08
1_control,2,18,18,ancestral,4,7.70E+08,PFU,5.00E+08
1_control,2,19,19,ancestral,7,1.80E+08,PFU,8.00E+08
1_control,2,20,20,ancestral,10,9.20E+08,PFU,0
1_control,2,21,21,ancestral,14,2.50E+08,PFU,2.60E+08
1_control,2,22,22,ancestral,17,4.70E+08,PFU,1.60E+09
1_control,2,23,23,ancestral,19,7.60E+08,PFU,1.20E+09
1_control,2,24,24,ancestral,22,1.10E+09,PFU,1.60E+09
1_control,3,1,1,ancestral,1,2.90E+08,PFU,0
1_control,3,2,2,ancestral,4,2.30E+08,PFU,1800
1_control,3,3,3,ancestral,7,3.40E+08,PFU,2.40E+07
1_control,3,4,4,ancestral,10,3.40E+08,PFU,2.40E+07
1_control,3,5,5,ancestral,14,5.90E+08,PFU,460000
1_control,3,6,6,ancestral,17,1.60E+08,PFU,3.40E+07
1_control,3,7,7,ancestral,19,3.00E+08,PFU,1.80E+07
1_control,3,8,8,ancestral,22,2.40E+08,PFU,3.00E+08
1_control,3,9,9,ancestral,1,4.40E+08,PFU,2.00E+07
1_control,3,10,10,ancestral,4,4.10E+08,PFU,1.80E+07
1_control,3,11,11,ancestral,7,2.60E+08,PFU,4.80E+07
1_control,3,12,12,ancestral,10,2.10E+08,PFU,2.80E+07
1_control,3,13,13,ancestral,14,1.18E+09,PFU,1.00E+08
1_control,3,14,14,ancestral,17,5.10E+08,PFU,3.40E+07
1_control,3,15,15,ancestral,19,2.00E+09,PFU,4.00E+06
1_control,3,16,16,ancestral,22,6.48E+09,PFU,1.20E+08
1_control,3,17,17,ancestral,1,8.10E+08,PFU,2400000
1_control,3,18,18,ancestral,4,6.00E+08,PFU,2.20E+07
1_control,3,19,19,ancestral,7,5.00E+08,PFU,1.20E+08
1_control,3,20,20,ancestral,10,5.70E+08,PFU,0
1_control,3,21,21,ancestral,14,1.41E+09,PFU,1.60E+07
1_control,3,22,22,ancestral,17,8.00E+08,PFU,1.20E+08
1_control,3,23,23,ancestral,19,3.50E+08,PFU,2.40E+07
1_control,3,24,24,ancestral,22,2.80E+08,PFU,4.00E+07
12,0,1,01-Dec,1,1,4.00E+06,PFU,6.00E+05
12,0,2,01-Dec,4,4,2900000,PFU,3400000
12,0,3,01-Dec,7,7,0,PFU,3200000
12,0,4,01-Dec,10,10,540000,PFU,3200000
12,0,5,13-24,14,14,4900000,PFU,2400000
12,0,6,13-25,17,17,570000,PFU,3400000
12,0,7,13-26,19,19,460000,PFU,2800000
12,0,8,13-27,22,22,4.00E+06,PFU,3200000
12,1,1,01-Dec,1,1,8.00E+08,PFU,54000
12,1,2,01-Dec,4,4,4.40E+08,PFU,180000
12,1,3,01-Dec,7,7,7.40E+07,PFU,36000
12,1,4,01-Dec,10,10,6.60E+08,PFU,74000
12,1,5,13-24,14,14,1.04E+09,PFU,1.00E+05
12,1,6,13-25,17,17,4.60E+08,PFU,140000
12,1,7,13-26,19,19,2.00E+08,PFU,1200
12,1,8,13-27,22,22,4.80E+08,PFU,54000
12,2,1,01-Dec,1,1,8.70E+08,PFU,2400
12,2,2,01-Dec,4,4,8.10E+08,PFU,5400
12,2,3,01-Dec,7,7,1.54E+09,PFU,400
12,2,4,01-Dec,10,10,0,PFU,1800
12,2,5,13-24,14,14,1.53E+09,PFU,600
12,2,6,13-25,17,17,4.20E+08,PFU,1000
12,2,7,13-26,19,19,4.50E+08,PFU,800
12,2,8,13-27,22,22,1.77E+09,PFU,32000
12,3,1,01-Dec,1,1,0,PFU,0
12,3,2,01-Dec,4,4,0,PFU,1800
12,3,3,01-Dec,7,7,3.00E+08,PFU,0
12,3,4,01-Dec,10,10,0,PFU,0
12,3,5,13-24,14,14,2.20E+08,PFU,0
12,3,6,13-25,17,17,2.10E+08,PFU,0
12,3,7,13-26,19,19,2.50E+08,PFU,3000
12,3,8,13-27,22,22,4.00E+08,PFU,0
24,0,1,Jan-24,1,1,3600000,PFU,2600000
24,0,2,Jan-24,4,4,850000,PFU,3200000
24,0,3,Jan-24,7,7,2200000,PFU,3200000
24,0,4,Jan-24,10,10,520000,PFU,2800000
24,0,5,Jan-24,13,13,490000,PFU,1600000
24,0,6,Jan-24,16,16,930000,PFU,2800000
24,0,7,Jan-24,19,19,940000,PFU,1600000
24,0,8,Jan-24,22,22,750000,PFU,2.00E+06
24,1,1,Jan-24,1,1,8.20E+08,PFU,24000
24,1,2,Jan-24,4,4,5.90E+08,PFU,54000
24,1,3,Jan-24,7,7,8.10E+08,PFU,400
24,1,4,Jan-24,10,10,1.16E+08,PFU,5600
24,1,5,Jan-24,13,13,1.06E+09,PFU,2400
24,1,6,Jan-24,16,16,7.20E+07,PFU,12000
24,1,7,Jan-24,19,19,7.00E+08,PFU,1200
24,1,8,Jan-24,22,22,3.30E+08,PFU,4200
24,2,1,Jan-24,1,1,5.80E+08,PFU,0
24,2,2,Jan-24,4,4,4.30E+08,PFU,2600
24,2,3,Jan-24,7,7,0,PFU,0
24,2,4,Jan-24,10,10,4.50E+08,PFU,200
24,2,5,Jan-24,13,13,2.33E+09,PFU,400
24,2,6,Jan-24,16,16,1.03E+09,PFU,0
24,2,7,Jan-24,19,19,8.00E+08,PFU,0
24,2,8,Jan-24,22,22,4.10E+08,PFU,1600
24,3,1,Jan-24,1,1,0,PFU,0
24,3,2,Jan-24,4,4,3.10E+08,PFU,400
24,3,3,Jan-24,7,7,0,PFU,0
24,3,4,Jan-24,10,10,7.80E+08,PFU,0
24,3,5,Jan-24,13,13,3.80E+08,PFU,0
24,3,6,Jan-24,16,16,0,PFU,0
24,3,7,Jan-24,19,19,2.70E+08,PFU,0
24,3,8,Jan-24,22,22,9.00E+08,PFU,0
24_control,0,1,Jan-24,ancestral,1,3400000,PFU,1400000
24_control,0,2,Jan-24,ancestral,4,970000,PFU,6.00E+05
24_control,0,3,Jan-24,ancestral,7,0,PFU,3200000
24_control,0,4,Jan-24,ancestral,10,3.00E+05,PFU,2400000
24_control,0,5,Jan-24,ancestral,13,3800000,PFU,1400000
24_control,0,6,Jan-24,ancestral,16,2200000,PFU,6.00E+05
24_control,0,7,Jan-24,ancestral,19,2.00E+06,PFU,8.00E+05
24_control,0,8,Jan-24,ancestral,22,0,PFU,1600000
24_control,1,1,Jan-24,ancestral,1,0,PFU,0
24_control,1,2,Jan-24,ancestral,4,7.10E+08,PFU,600
24_control,1,3,Jan-24,ancestral,7,5.60E+08,PFU,0
24_control,1,4,Jan-24,ancestral,10,2.50E+08,PFU,200
24_control,1,5,Jan-24,ancestral,13,9.00E+08,PFU,200
24_control,1,6,Jan-24,ancestral,16,4.20E+07,PFU,400
